N001,D001,13-10-2022,200000,P008,10
N002,D002,13-10-2022,555000,P006,5
N003,D003,14-10-2022,888888,P005,2
N004,D001,15-10-2022,100000,P002,20
N005,D004,15-10-2022,450000,P001,20
N006,D007,16-10-2022,555550,P012,10
N007,D003,17-10-2022,999999,P003,50
N008,D006,17-10-2022,300000,P003,15
N009,D006,19-10-2022,250000,P008,15
N010,D010,21-10-2022,800000,P007,1
N011,D009,23-10-2022,600000,P013,12
N012,D008,24-10-2022,750000,P009,1
N013,D011,28-10-2022,960000,P004,1
N014,D005,29-10-2022,460000,P010,3
N015,D007,30-10-2022,360000,P012,10
